date,text,label
2020-02-17, 구광모 회장 공익법인 이사장 취임은 언제쯤  생활건강이 년 현금 억원 출연해 만든 생활건강 미래화장품육성재단도 개 있다 화장품 관련 스타트업이나 국내외 대학 연구과제를 지원한다 재단 홈페이지를 보면 년 개 연구과제에 총 억 만원을 ,6
2020-02-17, 구광모 회장 공익법인 이사장 취임은 언제쯤  생활건강이 년 현금 억원 출연해 만든 생활건강 미래화장품육성재단도 있다 화장품 관련 스타트업이나 국내외 대학 연구과제를 지원한다 재단 홈페이지를 보면 년 개 연구과제에 총 억 만원을 ,6
2020-02-17, 구광모 회장 공익법인 이사장 취임은 화장품  생활건강이 년 현금 억원 출연해 만든 생활건강 미래화장품육성재단도 있다 언제쯤 관련 스타트업이나 국내외 대학 연구과제를 지원한다 재단 홈페이지를 보면 년 개 연구과제에 총 억 만원을 ,6
2020-02-17, 구광모 회장 공익법인 이사장 취임은 언제쯤  생활건강이 년 현금 억원 출연해 만든 생활건강 미래화장품육성재단도 있다 화장품 관련 스타트업이나 국내외 대학 연구과제를 지원한다 재단 홈페이지를 회 보면 년 개 연구과제에 총 억 만원을 ,6
2020-02-17, 구광모 공익법인 이사장 취임은 언제쯤  생활건강이 년 현금 억원 출연해 만든 생활건강 미래화장품육성재단도 있다 화장품 관련 스타트업이나 국내외 대학 연구과제를 지원한다 재단 홈페이지를 보면 년 개 연구과제에 총 억 만원을 ,6
2020-02-17, 구광모 회장 공익법인 이사장 취임은 언제쯤  생활건강이 년 현금 억원 출연해 만든 생활건강 미래화장품육성재단도 있다 화장품 스타트업이나 국내외 대학 연구과제를 지원한다 재단 홈페이지를 년 개 총 억 만원을 ,6
2020-02-17, 구광모 회장 공익법인 생활건강 취임은 언제쯤  생활건강이 년 현금 억원 출연해 만든 이사장 미래화장품육성재단도 있다 화장품 관련 스타트업이나 국내외 대학 연구과제를 지원한다 재단 홈페이지를 보면 년 개 연구과제에 총 억 만원을 ,6
2020-02-17, 구광모 회장 공익법인 이사장 취임은 언제쯤  생활건강이 년 현금 억원 출연해 만든 생활건강 미래화장품육성재단도 있다 화장품 관련 스타트업이나 국내외 대학 연구과제를 지원한다 재단 홈페이지를 보면 개 년 개 연구과제에 총 억 만원을 ,6
2020-02-17, 구광모 회장 공익법인 이사장 취임은 언제쯤  생활건강이 년 현금 억원 출연해 만든 생활건강 미래화장품육성재단도 있다 화장품 관련 스타트업이나 국내외 대학 연구과제를 지원한다 재단 홈페이지를 보면 년 개 연구과제에 총 억 만원을 ,6
2020-02-17, 구광모 회장 공익법인 개 이사장 취임은 언제쯤  생활건강이 년 현금 억원 출연해 만든 생활건강 미래화장품육성재단도 있다 화장품 관련 스타트업이나 국내외 대학 연구과제를 지원한다 재단 홈페이지를 보면 년 개 연구과제에 총 억 만원을 ,6
2020-02-17, 구광모 회장 공익법인 이사장 취임은 언제쯤  생활건강이 년 현금 억원 출연해 만든 생활건강 있다 화장품 관련 스타트업이나 국내외 대학 연구과제를 지원한다 재단 홈페이지를 보면 년 개 연구과제에 총 억 만원을 ,6
