,date,title,contents
292,2020-02-13,"롯데하이마트 온라인쇼핑몰, '신학기 PC 디지털 대전' 진행","사진=롯데하이마트 롯데하이마트온라인쇼핑몰에서 졸업·입학시즌을 맞아 29일까지 200억원 규모 '신학기 PC, 디지털 대전'을 진행한다. 브랜드별 할인 쿠폰 제공, 엘포인트(L.point) 추가 적립, 사은품 증정 등 다양한..."
293,2020-02-13,"롯데하이마트, 지난해 순손실 1000억원 적자전환 ""유형자산 손상차손 인식 영...",포쓰저널 오경선 laurenoh1018@gmail.com ?롯데하이마트는 2019년 개별 재무제표 기준 연간 순손실?999억728만원으로 적자전환했다고 13일 공시했다.작년 매출액은 전년 대비 2.1% 감소한 4조264억6394만원을...
294,2020-02-13,"[실적발표] 롯데하이마트, 서울식품공업, 동일산업, 삼영엠텍","롯데하이마트가 2019년 개별기준으로 매출 4조264억6300만 원, 영업이익 1098억5700만 원, 순손실 999억700만 원을 낸 것으로 잠정집계됐다고 13일 밝혔다. 2018년과 비교해 매출은 2.1%, 영업이익은 41.1% 줄고..."
295,2020-02-13,"롯데하이마트온라인쇼핑몰, 200억원 규모 ‘신학기 PC, 디지털 대전’ 진행","롯데하이마트온라인쇼핑몰에서 졸업·입학시즌을 맞아 29일까지 200억원 규모 ‘신학기 PC, 디지털 대전’을 진행한다. 브랜드별 할인 쿠폰 제공, 엘포인트(L.point) 추가 적립, 사은품 증정 등 다양한 혜택을 마련했다...."
296,2020-02-13,"롯데하이마트, '신학기 디지털 대전' 200억 쏜다","롯데하이마트 온라인쇼핑몰은 졸업·입학시즌을 맞아 29일까지 200억 원 규모 '신학기 PC, 디지털 대전'을 진행한다고 13일 밝혔다. 브랜드별 할인 쿠폰 제공, 엘포인트(L.point) 추가 적립, 사은품 증정 등 다양한 혜택을..."
297,2020-02-13,"롯데하이마트, 작년 영업익 1098억원…전년比 41% 감소","롯데하이마트, 작년 영업익 1098억원…전년比 41% 감소 롯데하이마트의 지난해 영업이익이 크게 감소했다. 롯데하이마트는 지난해 영업이익이 전년 대비 41.09% 감소한 1098억원으로 집계됐다고 13일 밝혔다. 같은 기간..."
298,2020-02-13,"[IB토마토](Today 공시)LG, 3868억원 규모 현금배당 결정","롯데하이마트(071840), 지난해 4분기 영업이익 전년비 52.91%···236억원 현금배당 롯데하이마트는 지난해 4분기 영업이익이 63억3000만원으로 전년 동기 대비 52.91% 감소한 것으로 잠정 집계했다고 13일..."
299,2020-02-13,"[공시]롯데하이마트, 작년 영업익 1098억…전년 比 41%↓","롯데하이마트는 지난해 연결기준 매출액 4조2646억원, 영업이익 1098억원을 기록한 것으로 집계됐다고 13일 공시했다. 전년 동기 대비 매출은 2.1%, 영업이익은 41.1% 감소했다. 같은 기간 당기순손실은..."
300,2020-02-14,"롯데하이마트, 1000억 영업익 이탈 걱정…롯데쇼핑 실적 안전판 역할 흔들",이투데이=조남호 기자 | 롯데하이마트가 연간 영업이익 1000억 원 이탈을 걱정할 처지에 놓였다. 이에 따라 모기업 롯데쇼핑의 실적 안전판 역할을 담당했던 롯데하이마트의 지위도 흔들릴 것으로 보인다. 14일...
301,2020-02-14,"[주식인사이드] 코스피 주가정보 - 아이에스동서, 현대홈쇼핑, 태영건설 외 (...","64% 상승한 31,450원, ▲롯데하이마트(071840) 전일 대비 -1.9% 하락한 25,850원에 장마감됐다. 오후 4시 16분 현재 코스피 지수는 어제보다 10.63포인트(+0.45%) 상승한 2243.59으로 마감했다."
302,2020-02-14,"코지마 안마의자, 롯데하이마트 효천점 SNS 이벤트 진행",종합 헬스케어 전문 브랜드 코지마에서 '롯데하이마트 효천점 SNS 이벤트'를 진행한다고 밝혔다. 이번 '롯데하이마트 효천점 SNS 이벤트'는 롯데하이마트 효천점에서 안마의자 구매 후 배송 완료 사진을 SNS에 인증샷으로...
303,2020-02-14,"[리포트 브리핑]롯데하이마트, '부진한 실적 흐름이 지속되다' 목표가 35,000...","로보뉴스 = 유진투자증권에서 14일 롯데하이마트(071840)에 대해 '부진한 실적 흐름이 지속되다'라며 투자의견 'BUY(유지)'의 신규 리포트를 발행하였고, 목표가 35,000원을 내놓았다. 전일 종가 기준으로 볼 때, 이..."
304,2020-02-14,"""롯데하이마트, 계절가전 비롯한 가전 전반 판매 부진"" -신영증권","신영증권은 롯데하이마트에 대해 ""지난 4분기 매출액의 역신장은 계절가전(김치냉장고)을 비롯한 가전 전반의 판매가 부진했기 때문""이라며 ""매출총이익률 하락세는 작년 내내 이어지고 있는데 온라인몰 비중이..."
305,2020-02-14,"유진투자證, ""강도 높은 롯데쇼핑 체질개선 주목해야""","롯데하이마트의 경우 국내 가전 시장 성장률 둔화로 4분기 매출이 2.6% 감소했으며, 슈퍼 역시 적극적인 구조조정 통해 직영 사업 적자를 축소했지만 폐점 및 점포 리뉴얼로 인한 영업일수 감소로 인해 영업이익은..."
306,2020-02-14,"롯데하이마트(071840), 14일 -0.76%변동폭 보여…",▲생활주가정보 롯데하이마트 흐름▲롯데하이마트 지난 한달간 흐름 ●종목 그래프 분석 지금 차트의 흐름은 단기적으로 하락 세를 나타내고 있으며 전일대비 -200만큼 하락한 모습을 나타내주고...
307,2020-02-14,"""롯데하이마트, 영업환경 나아지는 중"" [신영증권]",서호원 기자 cydas2@ajunews.com 롯데하이마트 주식을 사라는 의견이 나왔다. 신영증권은 14일 롯데하이마트에 대해 투자의견 매수를 유지했다. 목표주가는 4만원으로 하향 조정됐다. 롯데하이마트의 지난해 4분기...
308,2020-02-14,"[★주식인사이드] 롯데하이마트, 주가 26,100원(2월 14일 9시 5분 기준)","2월 14일 오전 9시 5분 현재 롯데하이마트(071840) 주가가 전일 대비 -0.95% 변동된 26,100원에 거래되고 있습니다. 롯데하이마트의 오늘 시가는 26,000원이며 어제 종가는 26,350원이었습니다. 롯데하이마트 주가..."
309,2020-02-14,"롯데하이마트, 부진한 실적 흐름 지속…목표주가 하향-유진",유진투자증권이 롯데하이마트에 대해 부진한 실적 흐름이 지속되고 있다며 목표주가를 기존 4만1000원에서 3만5000원으로 하향조정했다. 투자의견은 '매수'를 유지했다. 14일 주영훈 유진투자증권 연구원은...
310,2020-02-17,"[주식인사이드] 코스피 주가정보 - 아이에스동서, 현대홈쇼핑, 태영건설 외 (...","95% 하락한 31,150원, ▲롯데하이마트(071840) 전일 대비 -1.35% 하락한 25,500원에 장마감됐다. 오후 4시 15분 현재 코스피 지수는 어제보다 1.42포인트(-0.04%) 하락한 2242.17으로 마감했다."
311,2020-02-17,"롯데 VS 지자체, 롯데렌탈 430억대 취득세 소송전","17일 업계에 따르면 호텔롯데, 부산롯데호텔, 롯데하이마트, 롯데손해보험, 우리홈쇼핑(이하 5개사)이 낸 취득세 등 부과처분 취소소송이 서울행정법원 행정4부와 5부에서 진행되고 있다. 피고는 인천 계양구청장 등..."
312,2020-02-17,코로나 여파…전자제품도 온라인 구매,"롯데하이마트는 지난해 영업이익이 110억원을 기록해 전년 대비 41.1% 감소했으며, 4분기 기준으로도 영업이익이 6억원으로 집계돼, 전년 대비 52.9% 하락했다. 이에 따라 오프라인 중심의 가전업체들은 프리미엄 제품..."
313,2020-02-17,"5%룰 완화, 전자투표제 도입...3월 주총 상장사 비상",롯데하이마트가 전자투표제를 시행 중인 롯데그룹 역시 전자투표제 확대 도입을 논의하고 있는 것으로 알려졌다. LG를 제외한 국내 주요 그룹이 전부 전자투표를 도입하게 된 셈이다. 앞서 업계에서는 경영권 분쟁을 겪고...
314,2020-02-17,"[리포트 브리핑]롯데하이마트, '실적보다는 전략적 변화가 더욱 중요한 시기 ...","로보뉴스 = 한화투자증권에서 17일 롯데하이마트(071840)에 대해 '실적보다는 전략적 변화가 더욱 중요한 시기 '라며 투자의견 'HOLD(유지)'의 신규 리포트를 발행하였고, 목표가 32,000원을 내놓았다. 전일 종가..."
315,2020-02-17,[스포츠서울 소비자선호도1위브랜드대상 : 휴테크] 음파진동과 뮤직싱크 기술...,"그 밖에도 휴테크는 직영점뿐만 아니라 전자랜드, 롯데 하이마트 등 전자제품 전문점 중심으로 오프라인 영업망을 확대하고 있으며 세련된 감성과 톤 앤 매너가 돋보이는 신규 TV캠페인 광고에 정우성이 출연해 이목을..."
316,2020-02-17,"하이투자 ""롯데하이마트, 장기적 관점서 지켜봐야…투자의견·목표가↓""","하이투자증권은 롯데하이마트에 대해 판매채널 경쟁력 강화에 나서고 있지만 장기적인 관점에서 지켜봐야 한다며 투자의견을 '매수'에서 '보유'로, 목표주가를 3만7000원에서 2만9000원으로 하향..."
317,2020-02-17,"하이투자 ""롯데하이마트, 장기 관점서 지켜봐야""…투자의견·목표주가 '하향'","하이투자증권은 17일 롯데하이마트에 대해 ""그룹차원의 장기적인 판매채널 변화 전략에 발맞춰 개편을 계획하고 있지만, 효과는 장기적인 관점에서 지켜볼 필요가 있다""며 목표 주가를 기존 3만7000원에서 2만9000원으로..."
318,2020-02-17,"[★주식인사이드] 롯데하이마트, 주가 25,750원(2월 17일 9시 6분 기준)","2월 17일 오전 9시 6분 현재 롯데하이마트(071840) 주가가 전일 대비 -0.39% 변동된 25,750원에 거래되고 있습니다. 롯데하이마트의 오늘 시가는 25,850원이며 어제 종가는 25,850원이었습니다. 롯데하이마트 주가..."
319,2020-02-17,"롯데하이마트, 실적보다 전략적 변화가 중요-한화","한화투자증권이 롯데하이마트에 대해 실적보다는 전략적 변화가 더욱 중요한 시기라며 투자의견'중립'과 목표주가 3만2000원을 유지했다. 17일 남성현 한화투자증권 연구원은 ""롯데하이마트 4분기 실적은 당사 추정치에..."
320,2020-02-18,"때아닌 성수기 맞았는데…가전업계, 코로나19 여파에 수급 우려","수급 등은 또 다른 변수가 될 수 있을 것""이라며 ""공장을 당장 가동한다고 하더라도 정상화까지는 최소 2주 이상 시간이 걸릴 것으로 보고 있다""고 말했다. 롯데하이마트 메가스토어 서울 잠실점 모습.[사진=연합뉴스]"
321,2020-02-18,"[주식인사이드] 코스피 주가정보 - 아이에스동서, 현대홈쇼핑, 태영건설 외 (...","28% 하락한 30,750원, ▲롯데하이마트(071840) 전일 대비 -1.96% 하락한 25,000원에 장마감됐다. 오후 4시 15분 현재 코스피 지수는 어제보다 33.29포인트(-1.47%) 하락한 2208.88으로 마감했다."
322,2020-02-18,변해야 산다…체질 개선 나선 롯데하이마트,오프라인에서 온라인으로 소비 패턴이 바뀌면서 롯데하이마트 성장이 정체 중이다. 이에 롯데하이마트는 오프라인 매장을 새로 꾸미며 살길을 모색하고 있다. 18일 업계에 따르면 롯데하이마트는 지난해 영업이익...
323,2020-02-18,"롯데멤버스, 저소득층 청소년들 위해 대한적십자사에 1억원 기부",착한 신학기 캠페인은 소비자가 롯데하이마트에서 제품을 구매할 때 엘포인트를 적립하거나 사용하면 롯데멤버스가 1건당 3000원씩 기부하는 캠페인이다. 기부금은 전액 저소득층 청소년들을 위한 노트북 구매에 쓰일...
324,2020-02-18,"휴테크 안마의자, 음파진동과 뮤직싱크 기술로 안마의자 시장 선도","직영점뿐만 아니라 전자랜드, 롯데 하이마트 등 전자제품 전문점 중심으로 오프라인 영업망을 확대하고 있으며 세련된 감성과 톤 앤 매너가 돋보이는 신규 TV캠페인 광고에 정우성이 출연해 소비자들의 이목을 끌고 있다."
325,2020-02-18,"휴테크 안마의자, 음파진동과 뮤직싱크 기술의 안마의자로 ‘소비자선호도 1위...","올해에는 신제품 10여 종을 출시할 계획으로 직영점뿐만 아니라 전자랜드, 롯데하이마트 등 전자제품 전문점 중심으로 오프라인 영업망을 확대하고 있으며 세련된 감성과 톤 앤 매너가 돋보이는 신규 TV캠페인 광고에..."
326,2020-02-18,"""풍성한 2월이 쏟아진다""","롯데하이마트 온라인쇼핑몰은 19일까지 '2월 어메이징 10 데이즈'를 진행한다. 이번 행사에서는 공기청정기, 건조기 등 환경･위생 가전을 최대 20% 할인가에 제공한다. 행사중인 공기청정기를 10% 할인해주는 쿠폰과 행사..."
327,2020-02-18,"롯데멤버스, 대한적십자사에 1억원 기부","올해는 롯데하이마트와 함께 저소득층 가구의 아동, 청소년, 대학생에게 노트북을 지원하는 착한 신학기 캠페인을 진행했다. 캠페인 기간 동안 롯데하이마트에서 PC, 모바일 등 IT제품 구입 시 엘포인트를 적립하거나..."
328,2020-02-18,"[★주식인사이드] 롯데하이마트, 주가 25,300원(2월 18일 9시 6분 기준)","2월 18일 오전 9시 6분 현재 롯데하이마트(071840) 주가가 전일 대비 -0.78% 변동된 25,300원에 거래되고 있습니다. 롯데하이마트의 오늘 시가는 25,250원이며 어제 종가는 25,500원이었습니다. 롯데하이마트 주가..."
329,2020-02-18,"롯데하이마트, 판매채널 경쟁력 강화 장기간 소요…목표가 '하향'-하이투자증...",뉴스토마토 = 문지훈 기자 |  하이투자증권은 18일 롯데하이마트(071840)에 대해 판매채널 경쟁력 강화 효과가 단기간에 나오긴 어려울 것으로 전망해 목표가를 기존 3만7000원에서 2만9000원으로 하향 조정했다....
330,2020-02-19,[표][(19일/코스피 주가 Top 50 하락률] 지코 주가 하락률 1위 -19.91% 내려 ...,"▲ (60위)롯데하이마트, 주가하락률 : 약 -2.6% (거래량=  103134주), 19일 롯데하이마트  650원 상승, 시가총액 5748억원, 회전율 : 약 0.43% (=하루거래량/상장총주식수=  103134주/23608000주), 롯데하이마트..."
331,2020-02-19,새로 나온 갤럭시Z플릭 총 '20원' 깎아준다고 안내한 롯데 하이마트,= 롯데 하이마트가 삼성전자의 새 폴더블 스마트폰인 갤럭시Z플립을 할인된(?) 가격에 판매하고 있다고 했다.지난 16일 트위터에는 서울시의 한 하이마트 매장을 방문해 갤럭시Z플립을 본 누리꾼의 후일담이 올라왔다....
332,2020-02-19,2월 20일 알림,◇ 롯데하이마트는 19일 임직원이 조손가정 아동과 결연을 맺어 후원하는 ‘행복 3대 캠페인’으로 초록우산어린이재단을 통해 중·고교에 진학하는 45명에게 500만원 상당의 학용품·책가방 등 입학 준비물을...
333,2020-02-19,"이동우, 롯데하이마트 온라인몰에 고객참여 콘텐츠로 차별화 집중",이동우 롯데하이마트 대표이사 사장이 롯데하이마트 온라인몰에서 고객 참여형 요소를 강화하는데 힘쓰고 있다. 가전부문에서 온라인 침투율이 높은 만큼 온라인몰을 키우기 위해 적은 비용으로 수익을 낼 수 있는...
334,2020-02-19,"롯데하이마트, 조손가정 결연아동 입학준비물 지원",이상학 롯데하이마트 재무부문장(왼쪽)과 김진월 초록우산어린이재단 서울남부지역본부장이 기념사진을 찍고 있다. 제공| 롯데하이마트[스포츠서울 동효정 기자] 롯데하이마트가 신학기를 맞아 상급학교에 진학하는...
335,2020-02-19,"롯데하이마트, 조손가정 결연아동에게 입학 준비물 전달",롯데하이마트(대표 이동우)는 19일 신학기를 맞아 상급학교에 진학하는 조손가정 결연아동 45명을 격려하기 위해 500만원 상당의 입학 준비물을 전달했다. 전달 물품은 중·고등학교 진학 예정인 결연아동들에게 필요한...
336,2020-02-19,"[기업] 롯데하이마트, 조손가정 결연 아동 45명 입학준비물 지원",롯데하이마트가 중·고등학교에 진학하는 결연 아동 45명에게 5백만 원 상당의 학용품 등 입학 준비물을 전달했습니다. 이번 조손가정 지원은 롯데하이마트 임직원이 모은 후원금을 바탕으로 초록우산어린이재단을...
337,2020-02-19,"롯데하이마트, 조손가정아동에 학용품 전달","롯데하이마트는 신학기를 맞아 상급학교에 진학하는 조손가정 결연아동 45명에게 500만원 상당의 입학 준비물을 전달했다고 19일 밝혔다. 전달된 입학 준비물은 학습교재와 학용품, 책가방 등이다. 롯데하이마트는..."
338,2020-02-19,"롯데하이마트, 조손가정 행복 캠페인 지속…신학기 학용품 지원",뷰어스 김미라 기­자 jini@viewers.co.kr 롯데하이마트는 19일 초록우산어린이재단을 통해 중·고등학교에 진학하는 조손가정 결연아동 45명에게 500만원 상당의 학용품과 책가방 등 입학 준비물을 전달했다고 밝혔다....
339,2020-02-19,"롯데하이마트, 조손가정 아동에 학용품","롯데하이마트가 조손가정 아동에게 학용품을 지원하기 위해 19일 초록우산어린이재단에 500만원을 기부했다. 기부금은 학용품, 책가방 등 조손가정 결연아동 45명의 입학 준비물을 구매하는 데 쓰일 예정이다...."
340,2020-02-20,"롯데하이마트 청주터미널점, 전자레인지 기증",충청매일 CCDN 충북 청주시 롯데하이마트 청주터미널점(지점장 맹수형)은 20일 흥덕구 내 어려운 이웃에게 전달해달라며 흥덕구청에 전자레인지 4대를 기탁했다.
341,2020-02-20,[비즈마켓] 전자랜드 롯데하이마트 위메프 갤러리아 LG생활건강 등,롯데하이마트가 19일 신학기를 맞아 상급학교에 진학하는 조손가정 결연아동 45명의 입학을 격려하기 위해 500만원 상당의 입학 준비물을 전달했다. 기증식은 서울 강남구에 위치한 초록우산어린이재단...
342,2020-02-20,"[주식인사이드] 코스피 주가정보 - 아이에스동서, 현대홈쇼핑, 태영건설 외 (...","49% 하락한 29,800원, ▲롯데하이마트(071840) 전일 대비 -1.03% 하락한 24,100원에 장마감됐다. 오후 4시 16분 현재 코스피 지수는 어제보다 14.84포인트(-0.63%) 하락한 2195.5으로 마감했다."
