date,title,contents,label
2020-01-01,피부 철벽같이 보호하는 '철벽녀'…3년 연속 홈쇼핑 화장품 히트상품,이종섭 뷰티피플 대표(50·사진)는 1990년대 중반 지인의 권유로 LG화학(현 LG생활건강) 대리점에 2년가량 근무하면서 화장품업계에 발을 들였다. 10여 년 일하며 영업에 자신감이 쌓여 2011년 회사를 차렸다. 이 대표는...,0
2020-01-01,"보릿고개 넘은 K뷰티, 올해 볕들까",LG생활건강은 미국 기업 뉴에이본을 인수하며 북미 사업의 기반을 마련했고 아모레퍼시픽그룹은 러시아 등에 새롭게 진출했다. 올해도 브랜드를 추가로 진출시키며 입지를 다질 계획이다. 코스맥스는 지난해 러시아에...,0
2020-01-01,포화된 H&B 시장…매장 늘리기 보단 내실 다지기,"LG생활건강, 에이블씨엔씨 등 단일 브랜드 로드숍을 운영하던 기업들도 편집숍 형태의 매장을 공격적으로 확대하고 있다. 1233개의 점포를 보유해 업계 1위를 지키고 있는 올리브영은 매장 확대보단 리뉴얼에 집중하는...",0
2020-01-01,"아모레 안젤라베이비 ‘설화수’ 누른 LG생활건강 이영애 ‘후’, 2020년에도...",2019년 LG생활건강의 럭셔리 브랜드 ‘후’가 선전하며 사상 최대 실적을 기록했다. 브랜드 출시 후 줄곧 아모레퍼시픽의 ‘설화수’에 밀렸던 ‘후’는 매출액이 12.87% 상승하며 기분좋게 한해를 마무리했다. 반면...,0
2020-01-01,"(2020 위기가 기회다)유통가, 온라인에 더 몰린다…배송망·전용 상품 강화 총…","LG생활건강은 세계적인 안무팀과 협업해 온라인 전용 화장품 브랜드 '밀리언뷰티'를 지난해 출시했고, 아모레퍼시픽은 서울 성동구 성수동에 체험형 매장 '아모레 성수'를 오픈해 온라인 구매를 유도한다. 패션업체는...",0
2020-01-01,[2020 뷰티 전망] 럭셔리 아니면 저가 양극화…맞춤형 화장품 시대 열린다,반면 럭셔리 화장품 '설화수'와 '후'를 내세운 아모레퍼시픽과 LG생활건강 등 '빅2'는 웃었다. 중국에서 황후의 화장품으로 대접을 받고 있는 후는 지난해 국내 화장품업계 최초로 단일 브랜드 기준 연 매출 2조원을...,0
2020-01-01,실험실 홀랑 태울뻔…日화장품 원료 국산화한 군산 중소기업,"“아모레퍼시픽·LG생활건강·콜마 등 국내 화장품 제조사에 보낸 샘플은 긍정적인 답변을 받았다.” 공장 내 공터를 안내하던 신 상무가 말했다. 온갖 난관을 겪었던 이 중소기업 임직원들에게 2020년, 희망의 싹이...",0
2020-01-02,"화장품업계 CEO들 ""새해 브랜드 경쟁력·디지털 역량 강화""","차석용 LG생활건강 부회장은 ""미주 사업의 성공적 안착을 통해 아시아를 뛰어넘는 글로벌 회사로 도약하자""며 ""세계적 명품 브랜드 육성을 위한 화장품 사업 경쟁력 강화, 차별화된 콘셉트의 생활용품 통합 프리미엄 브랜드...",0
2020-01-02,"겨울철 건조피부를 위한 보습 솔루션 | 네오팜, 벨레다 코리아, lg생활건강 등...","LG생활건강 닥터벨머, 마일드 더마 바디 3종 천연 시어버터와 판테놀, 세라마이드를 함유한 제형이 건조한 보디 피부에 오랫동안 촉촉함을 선사하는 제품이다. 특히 3종 모두 무향에 저자극 처방으로 민감성 피부도...",0
2020-01-02,[경제레시피] 2020년 달라진 통신사 멤버십 포인트…혜택 100% 누리려면?,"이에 따라 '라이프 콕'을 선택하면 폴바셋, 할리스커피, 엔젤리너스, 계절밥상, SSG닷컴, LG생활건강샵, LG전자샵, 리튠샵, GS수퍼마켓, 롯데월드, 롯데언더씨킹덤, VR스테이션, 무료 데이터 1GB 등 13곳 중 하나의...",0
