word,label,tf-idf
폐기물,e,114.25567802148342
사용량,e,83.49453393877634
재활용,e,75.80424791809958
온실가스,e,75.80424791809958
원단위,e,62.62090045408226
플라스틱,e,62.62090045408226
배출량,e,61.522288165414146
환경경영,e,27.465307216702744
기후변화,e,24.169470350698415
LED,e,23.070858062030304
PET,e,19.775021196025975
탄소중립,e,19.775021196025975
사업장,e,19.056860081083727
폐가전,e,17.577796618689757
음식물,e,16.479184330021646
업사이클링,e,16.479184330021646
포장재,e,14.191278783785753
페트병,e,13.183347464017316
물류센터,e,12.163953243244931
재활용성,e,10.986122886681098
효율화,e,10.986122886681098
코카콜라음료,e,10.986122886681098
선순환,e,10.986122886681098
지속적,e,10.136627702704109
kWh,e,9.887510598012987
신재생에너지,e,9.887510598012987
시스템,e,9.325697486487782
폴리백,e,8.788898309344878
SEMS,e,8.788898309344878
탄소배출량,e,8.788898309344878
전기차,e,8.788898309344878
가전제품,e,7.690286020676768
아이템,e,7.690286020676768
무라벨,e,7.690286020676768
파우치,e,7.690286020676768
환경경영시스템,e,7.690286020676768
아이스팩,e,6.591673732008658
TP공장,e,6.591673732008658
환경보호,e,6.591673732008658
자원순환,e,6.591673732008658
부직포,e,6.591673732008658
재활용률,e,6.591673732008658
발생량,e,6.591673732008658
그린제품,e,6.591673732008658
편의점,e,5.493061443340549
에코백,e,5.493061443340549
클린뷰티,e,5.493061443340549
환경부,e,5.493061443340549
고객들,e,5.493061443340549
패키징,e,5.493061443340549
경량화,e,5.493061443340549
임직원,e,5.271046405406137
MOU,e,4.394449154672439
로드맵,e,4.394449154672439
부자재,e,4.394449154672439
리필스테이션,e,4.394449154672439
재사용,e,4.394449154672439
분담금,e,4.394449154672439
직영점,e,4.394449154672439
분리배출,e,4.394449154672439
그린패키징,e,4.394449154672439
재생에너지,e,4.394449154672439
완충재,e,4.394449154672439
폐플라스틱,e,4.394449154672439
내부심사,e,4.394449154672439
전자영수증,e,4.394449154672439
방송폐기물,e,4.394449154672439
서비스,e,4.054651081081644
체계적,e,4.054651081081644
최소화,e,3.6491859729734797
소비자,e,3.6491859729734797
폐식용유,e,3.295836866004329
일반폐기물,e,3.295836866004329
목표관리제,e,3.295836866004329
환경표지,e,3.295836866004329
환경분담금,e,3.295836866004329
경영환경,e,3.295836866004329
바디워시,e,3.295836866004329
취약계층,e,3.295836866004329
기획세트,e,3.295836866004329
플라스틱류,e,3.295836866004329
BAU,e,3.295836866004329
등급평,e,3.295836866004329
접착제,e,3.295836866004329
생활폐기물,e,3.295836866004329
